similarity;lie_index;lie_add;lmi_index;lmi_add
{"matched":[0,2,1,3],"matchScore":[1,1,0.33499999999999996,1],"exact":3,"score":3.335,"order":0.75,"size":0.25};1218;strada constantin bonea 16;313;strada budisteanu constantin 16
{"matched":[0,2,1,3],"matchScore":[1,1,0.39357142857142857,1],"exact":3,"score":3.3935714285714287,"order":0.75,"size":0.25};1219;strada constantin bosianu 10;308;strada budisteanu constantin 10
{"matched":[0,2,1,3],"matchScore":[1,1,0.30357142857142855,1],"exact":3,"score":3.3035714285714284,"order":0.75,"size":0.25};1220;strada constantin brancusi 3;369;strada caracas constantin 3
{"matched":[0,1,2,3],"matchScore":[1,0.36500000000000005,0.3541666666666667,1],"exact":2,"score":2.7191666666666667,"order":1,"size":0.25};1221;strada constantin brancusi 5;568;strada cristian radu 5
{"matched":[0,2,1,3],"matchScore":[1,1,0.2975,1],"exact":3,"score":3.2975,"order":0.75,"size":0.25};1222;strada constantin brancusi 7;306;strada budisteanu constantin 7
{"matched":[0,3,1,4],"matchScore":[1,1,0.35000000000000003,0.35],"exact":2,"score":2.7,"order":0.5999999999999999,"size":0.2};1223;strada constantin coanda 27;1705;strada sandu aldea constantin 21
{"matched":[0,2,1,3],"matchScore":[1,1,0.36640211640211645,0.42500000000000004],"exact":2,"score":2.791402116402116,"order":0.75,"size":0.25};1224;strada constantin cristescu 2;1033;strada kiritescu constantin 21
{"matched":[0,2,1,3],"matchScore":[1,1,0.3148809523809524,1],"exact":3,"score":3.3148809523809524,"order":0.75,"size":0.25};1225;strada constantin cristescu 3;369;strada caracas constantin 3
{"matched":[0,3,2,1,4],"matchScore":[1,1,0.29444444444444445,0.27037037037037037,0.35],"exact":2,"score":2.914814814814815,"order":0.6800000000000002,"size":0.2};1226;strada constantin daniel rosenthal 17;1702;strada sandu aldea constantin 14
{"matched":[0,3,2,1,4],"matchScore":[1,1,0.29444444444444445,0.27037037037037037,0.35],"exact":2,"score":2.914814814814815,"order":0.6800000000000002,"size":0.2};1227;strada constantin daniel rosenthal 38;1707;strada sandu aldea constantin 35
{"matched":[0,2,3,1,4],"matchScore":[1,0.36500000000000005,1,1,1],"exact":4,"score":4.365,"order":0.6800000000000002,"size":0.2};1228;strada constantin f robescu 2;1613;strada robescu c f 2
{"matched":[0,2,3,1,4],"matchScore":[1,0.36500000000000005,1,1,1],"exact":4,"score":4.365,"order":0.6800000000000002,"size":0.2};1229;strada constantin f robescu 6;1616;strada robescu c f 6
{"matched":[0,2,1,3],"matchScore":[1,1,0.2759259259259259,0.43333333333333335],"exact":2,"score":2.7092592592592597,"order":0.75,"size":0.25};1230;strada constantin miculescu 20-22;314;strada budisteanu constantin 20
{"matched":[0,2,1,3],"matchScore":[1,1,0.23809523809523805,0.42500000000000004],"exact":2,"score":2.663095238095238,"order":0.75,"size":0.25};1231;strada constantin miculescu 32;369;strada caracas constantin 3
{"matched":[0,1,2,3],"matchScore":[1,0.36500000000000005,0.3333333333333333,1],"exact":2,"score":2.6983333333333333,"order":1,"size":0.25};1232;strada constantin nacu 5;568;strada cristian radu 5
{"matched":[0,3,1,2,-1],"matchScore":[1,1,1,1,0],"exact":4,"score":4,"order":0.6000000000000001,"size":0.2};1233;strada constantin sandu aldea 40;1702;strada sandu aldea constantin 14
{"matched":[0,2,1,3],"matchScore":[1,1,0.22380952380952382,1],"exact":3,"score":3.223809523809524,"order":0.75,"size":0.25};1234;strada constantin stahi 3;369;strada caracas constantin 3
{"matched":[0,2,1,3],"matchScore":[1,1,0.31666666666666665,0.35],"exact":2,"score":2.6666666666666665,"order":0.75,"size":0.25};1235;strada constantin stere 25;314;strada budisteanu constantin 20
{"matched":[0,1,3],"matchScore":[1,0.38888888888888895,1],"exact":2,"score":2.388888888888889,"order":0.7777777777777777,"size":0.25};1236;bulevardul constructorilor 3;548;bulevardul cosbuc george 3
{"matched":[0,1,3],"matchScore":[1,0.38888888888888895,1],"exact":2,"score":2.388888888888889,"order":0.7777777777777777,"size":0.25};1237;bulevardul constructorilor 11;549;bulevardul cosbuc george 11
{"matched":[0,1,3],"matchScore":[1,0.38888888888888895,1],"exact":2,"score":2.388888888888889,"order":0.7777777777777777,"size":0.25};1238;bulevardul constructorilor 15;551;bulevardul cosbuc george 15
{"matched":[0,1,2],"matchScore":[1,0.37142857142857144,1],"exact":2,"score":2.3714285714285714,"order":1,"size":0.3333333333333333};1239;strada corbeni 35;2;strada icoanei 3-5
{"matched":[0,2,3],"matchScore":[1,0.975,1],"exact":2,"score":2.975,"order":0.7777777777777777,"size":0.25};1240;strada cornelia 3;274;strada botez corneliu 3
{"matched":[0,1,2],"matchScore":[1,0.40111111111111114,1],"exact":2,"score":2.401111111111111,"order":1,"size":0.3333333333333333};1241;strada cornelia 5;504;strada coltei 5
{"matched":[0,1,2],"matchScore":[1,0.3898809523809524,1],"exact":2,"score":2.3898809523809526,"order":1,"size":0.3333333333333333};1242;strada cornelia 12;970;strada icoanei 12
{"matched":[0,2,4],"matchScore":[1,0.36875,1],"exact":2,"score":2.36875,"order":0.7333333333333334,"size":0.2};1243;strada cornelia 17;1627;strada robescu c f 17
{"matched":[0,2,4],"matchScore":[1,0.36875,1],"exact":2,"score":2.36875,"order":0.7333333333333334,"size":0.2};1244;strada cornelia 19;1630;strada robescu c f 19
{"matched":[0,2,3],"matchScore":[1,0.3566666666666667,1],"exact":2,"score":2.3566666666666665,"order":0.7777777777777777,"size":0.25};1245;strada cornelia 28;315;strada budisteanu constantin 28
{"matched":[0,1,2],"matchScore":[1,0.40111111111111114,1],"exact":2,"score":2.401111111111111,"order":1,"size":0.3333333333333333};1246;strada cornelia 38;519;strada coltei 38
{"matched":[0,2,1,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":0.6666666666666667,"size":0.25};1247;bulevardul corneliu coposu 1;538;bulevardul coposu corneliu 33
{"matched":[0,2,-1,3],"matchScore":[1,0.3452380952380952,0,1],"exact":2,"score":2.345238095238095,"order":0.7777777777777777,"size":0.25};1248;intrarea costache negri 4;606;intrarea dascalu nicolae 4
{"matched":[0,2,1,3],"matchScore":[1,0.38333333333333336,0.3028571428571429,1],"exact":2,"score":2.6861904761904762,"order":0.75,"size":0.25};1249;strada costache negri 13;1347;strada nottara constantin 13
{"matched":[0,1,2,3],"matchScore":[1,0.3005952380952381,0.33809523809523806,1],"exact":2,"score":2.638690476190476,"order":1,"size":0.25};1250;strada costache negri 28;996;strada ionescu grigore 28
{"matched":[0,3,4],"matchScore":[1,0.26203703703703707,1],"exact":2,"score":2.262037037037037,"order":0.6444444444444446,"size":0.2};1251;soseaua cotroceni 9;1041;soseaua kiseleff pavel dimitrievici 9
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};1252;soseaua cotroceni 18;562;soseaua cotroceni 32
{"matched":[0,1,4],"matchScore":[1,0.3777777777777777,1],"exact":2,"score":2.3777777777777778,"order":0.6444444444444446,"size":0.2};1253;strada covaci 2;546;strada coravu ion maior 2
{"matched":[0,2,3],"matchScore":[1,0.37555555555555553,1],"exact":2,"score":2.3755555555555556,"order":0.7777777777777777,"size":0.25};1254;strada covaci 3;369;strada caracas constantin 3
{"matched":[0,1,2],"matchScore":[1,0.36666666666666664,1],"exact":2,"score":2.3666666666666667,"order":1,"size":0.3333333333333333};1255;strada covaci 4;503;strada coltei 4
{"matched":[0,2,4],"matchScore":[1,0.37500000000000006,1],"exact":2,"score":2.375,"order":0.7333333333333334,"size":0.2};1256;strada covaci 5;1615;strada robescu c f 5
{"matched":[0,2,3],"matchScore":[1,0.37555555555555553,1],"exact":2,"score":2.3755555555555556,"order":0.7777777777777777,"size":0.25};1257;strada covaci 8;307;strada budisteanu constantin 8
{"matched":[0,2,3],"matchScore":[1,0.37555555555555553,1],"exact":2,"score":2.3755555555555556,"order":0.7777777777777777,"size":0.25};1258;strada covaci 13;372;strada caracas constantin 13
{"matched":[0,2,3],"matchScore":[1,0.37555555555555553,1],"exact":2,"score":2.3755555555555556,"order":0.7777777777777777,"size":0.25};1259;strada covaci 21;1033;strada kiritescu constantin 21
{"matched":[0,1,2],"matchScore":[1,0.32142857142857145,1],"exact":2,"score":2.321428571428571,"order":1,"size":0.3333333333333333};1260;strada covaci 23;648;strada doamnei 23
{"matched":[0,1,3],"matchScore":[1,0.373015873015873,1],"exact":2,"score":2.373015873015873,"order":0.7777777777777777,"size":0.25};1261;strada covasna 15;1483;strada poiana florilor 15
{"matched":[0,2,3],"matchScore":[1,0.32142857142857145,1],"exact":2,"score":2.321428571428571,"order":0.7777777777777777,"size":0.25};1262;strada covasna 27;1190;strada masaryk thomas 27
{"matched":[0,2,3],"matchScore":[1,0.3952380952380952,0.925],"exact":1,"score":2.3202380952380954,"order":0.7777777777777777,"size":0.25};1263;strada cozla 2a;1218;strada mavrogheni nicolae 2
{"matched":[0,1,3],"matchScore":[1,0.37619047619047613,1],"exact":2,"score":2.376190476190476,"order":0.7777777777777777,"size":0.25};1264;strada craciun 8;570;strada cristian radu 8
{"matched":[0,1,2,3,-1],"matchScore":[1,0.2888888888888889,1,0.85,0],"exact":2,"score":3.138888888888889,"order":1,"size":0.2};1265;strada crinul de padure 2;1558;strada putul de piatra 5
{"matched":[0,2,-1],"matchScore":[1,0.8875,0],"exact":1,"score":1.8875,"order":0.75,"size":0.25};1266;strada crinului 5-15;274;strada botez corneliu 3
{"matched":[0,1,3],"matchScore":[1,0.46071428571428574,1],"exact":2,"score":2.460714285714286,"order":0.7777777777777777,"size":0.25};1267;strada crisana 3;567;strada cristian radu 3
{"matched":[0,2,4],"matchScore":[1,0.37142857142857144,1],"exact":2,"score":2.3714285714285714,"order":0.7333333333333334,"size":0.2};1268;strada crisana 35;1693;strada rosetti c a 35
{"matched":[0,1,3],"matchScore":[1,0.37884615384615383,1],"exact":2,"score":2.378846153846154,"order":0.7777777777777777,"size":0.25};1269;strada crizantemelor 2;566;strada cristian radu 2
{"matched":[0,1,2],"matchScore":[1,0.386039886039886,1],"exact":2,"score":2.386039886039886,"order":1,"size":0.3333333333333333};1270;strada crizantemelor 4;1446;strada plantelor 4
{"matched":[0,2,4],"matchScore":[1,0.3615384615384615,1],"exact":2,"score":2.3615384615384616,"order":0.7333333333333334,"size":0.2};1271;strada crizantemelor 6;1616;strada robescu c f 6
{"matched":[0,1,3],"matchScore":[1,0.37884615384615383,1],"exact":2,"score":2.378846153846154,"order":0.7777777777777777,"size":0.25};1272;strada crizantemelor 8;570;strada cristian radu 8
{"matched":[0,2,4],"matchScore":[1,0.3615384615384615,1],"exact":2,"score":2.3615384615384616,"order":0.7333333333333334,"size":0.2};1273;strada crizantemelor 16;1626;strada robescu c f 16
