similarity;lie_index;lie_add;lmi_index;lmi_add
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.35],"exact":3,"score":3.35,"order":0.75,"size":0.25};606;bulevardul nicolae balcescu 21;166;bulevardul balcescu nicolae 24
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":0.75,"size":0.25};607;bulevardul nicolae balcescu 18;168;bulevardul balcescu nicolae 28
{"matched":[0,2,1,3],"matchScore":[1,1,0.24761904761904763,0.42500000000000004],"exact":2,"score":2.6726190476190474,"order":0.75,"size":0.25};608;strada nicolae golescu 20;1218;strada mavrogheni nicolae 2
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.42500000000000004],"exact":3,"score":3.425,"order":0.75,"size":0.25};609;strada nicolae iorga 17;1009;strada iorga nicolae 1
{"matched":[0,2,1,3],"matchScore":[1,1,0.20714285714285716,1],"exact":3,"score":3.2071428571428573,"order":0.75,"size":0.25};610;strada nicolae tonitza 13;1220;strada mavrogheni nicolae 13
{"matched":[0,2,1,-1,3],"matchScore":[1,0.9666666666666667,0.36875,0,0.925],"exact":1,"score":3.260416666666667,"order":0.7,"size":0.25};611;strada niculae t sebe 11;1897;strada turnescu nicolae 1
{"matched":[2,3,4],"matchScore":[0.41185185185185186,0.36309523809523814,1],"exact":1,"score":1.77494708994709,"order":1,"size":0.2};612;aleea otesani 1-7;573;strada cuza alexandru ioan 17
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":0.75,"size":0.25};613;bulevardul pache protopopescu 34;1548;bulevardul protopopescu pache 14
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.925],"exact":3,"score":3.925,"order":0.75,"size":0.25};614;bulevardul pache protopopescu 44;1542;bulevardul protopopescu pache 4
{"matched":[0,2,1,3],"matchScore":[0.21666666666666667,1,1,1],"exact":3,"score":3.216666666666667,"order":0.75,"size":0.25};615;piata pache protopopescu 2;1541;bulevardul protopopescu pache 2
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.35],"exact":3,"score":3.35,"order":0.75,"size":0.25};616;piata pache protopopescu 15;1554;piata protopopescu pache 13
{"matched":[0,1,2,3],"matchScore":[1,0.29999999999999993,1,0.42500000000000004],"exact":2,"score":2.7249999999999996,"order":1,"size":0.25};617;strada palade gheorghe 1;1484;strada polizu gheorghe 1-7
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};618;strada paleologu 15;1337;strada paleologu 12
{"matched":[0,1,2],"matchScore":[1,1,0.2916666666666667],"exact":2,"score":2.2916666666666665,"order":1,"size":0.3333333333333333};619;soseaua panduri 30;1379;soseaua panduri 90-92
{"matched":[0,2,4],"matchScore":[1,0.39333333333333337,0.39999999999999997],"exact":1,"score":1.7933333333333332,"order":0.7333333333333334,"size":0.2};620;soseaua pantelimon 235;1037;soseaua kiseleff pavel dimitrievici 2
{"matched":[0,1,2,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":1,"size":0.25};621;strada sfantul stefan 4;1758;strada sfantul stefan 
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};622;strada parfumului 28;1394;strada parfumului 20
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};623;strada paris 4;1411;strada paris 41
{"matched":[0,1,2],"matchScore":[1,1,0.9555555555555555],"exact":2,"score":2.9555555555555557,"order":1,"size":0.3333333333333333};624;strada paris 40;1410;strada paris 40a
{"matched":[0,1,3],"matchScore":[1,0.37619047619047613,1],"exact":2,"score":2.376190476190476,"order":0.7777777777777777,"size":0.25};625;strada pasului 5;693;strada patrascu voda 5
{"matched":[0,1,2],"matchScore":[1,0.44025974025974024,0.925],"exact":1,"score":2.3652597402597406,"order":1,"size":0.3333333333333333};626;strada patriotilor 3a;1417;strada patriei 3
{"matched":[0,2,1,4],"matchScore":[1,0.24166666666666667,0.27499999999999997,1],"exact":2,"score":2.5166666666666666,"order":0.7,"size":0.2};627;strada piata amzei 7-9;338;strada calderon jean louis 7-9
{"matched":[0,1,2,-1],"matchScore":[1,0.9241666666666667,1,0],"exact":2,"score":2.924166666666667,"order":1,"size":0.25};628;piata garii filaret 2;853;piata gara filaret 1
{"matched":[0,1,2,3],"matchScore":[1,0.33809523809523806,0.3111111111111111,1],"exact":2,"score":2.649206349206349,"order":1,"size":0.25};629;strada pitar mos 19;1349;strada nottara constantin 19
{"matched":[0,1,-1,2],"matchScore":[1,0.3125,0,1],"exact":2,"score":2.3125,"order":0.7777777777777777,"size":0.3333333333333333};630;aleea poiana muntelui 2;1284;aleea modrogan 2
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};631;strada polona 42;1488;strada polona 4
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};632;strada polona 47;1488;strada polona 4
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};633;strada polona 75;1510;strada polona 76
{"matched":[0,1,2,3],"matchScore":[1,0.38333333333333336,0.2888888888888889,1],"exact":2,"score":2.6722222222222225,"order":1,"size":0.25};634;strada pompiliu eliade 4;1517;strada popa soare 4
{"matched":[0,1,2,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":1,"size":0.25};635;strada popa nan 19;1513;strada popa nan 47bis
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.2833333333333333],"exact":3,"score":3.283333333333333,"order":1,"size":0.25};636;strada popa nan 76;1513;strada popa nan 47bis
{"matched":[0,1,2,3],"matchScore":[1,0.225,0.2888888888888889,1],"exact":2,"score":2.513888888888889,"order":1,"size":0.25};637;strada popa petre 37;2002;strada vulcanescu mircea 37
{"matched":[0,1,2,3],"matchScore":[1,1,0.24166666666666667,0.3333333333333333],"exact":2,"score":2.575,"order":1,"size":0.25};638;strada popa tatu 76;1522;strada popa soare 56
{"matched":[0,1,2,3],"matchScore":[1,1,0.2638888888888889,0.2833333333333333],"exact":2,"score":2.547222222222222,"order":1,"size":0.25};639;strada popa tatu 78;1513;strada popa nan 47bis
{"matched":[0,2,3],"matchScore":[1,0.425,1],"exact":2,"score":2.425,"order":0.7777777777777777,"size":0.25};640;strada postavarul 6;1809;strada stelea spatarul 6
{"matched":[0,1,2],"matchScore":[1,0.35428571428571426,1],"exact":2,"score":2.354285714285714,"order":1,"size":0.3333333333333333};641;strada poteras 35;1408;strada paris 35
{"matched":[0,2,3],"matchScore":[1,0.2916666666666667,1],"exact":2,"score":2.291666666666667,"order":0.7777777777777777,"size":0.25};642;strada povernei 6-8;1148;strada lupu dionisie 68
{"matched":[0,1,2],"matchScore":[1,0.2638888888888889,1],"exact":2,"score":2.263888888888889,"order":1,"size":0.3333333333333333};643;aleea pravat 2;1284;aleea modrogan 2
{"matched":[0,1,2,3],"matchScore":[1,0.3952380952380952,0.3333333333333333,1],"exact":2,"score":2.7285714285714286,"order":1,"size":0.25};644;strada prisaca dornei 6;1978;strada vraca george 6
{"matched":[0,2,1,3],"matchScore":[1,0.21527777777777776,0.27499999999999997,1],"exact":2,"score":2.4902777777777776,"order":0.75,"size":0.25};645;intrarea procopie dumitrescu 3;222;intrarea biserica rasvan 3
{"matched":[0,1,2,3],"matchScore":[1,1,1,1],"exact":4,"score":4,"order":1,"size":0.25};646;bulevardul regina elisabeta 5;725;bulevardul regina elisabeta 5
{"matched":[0,1,2,3],"matchScore":[1,1,1,1],"exact":4,"score":4,"order":1,"size":0.25};647;bulevardul regina elisabeta 25;728;bulevardul regina elisabeta 25
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":1,"size":0.25};648;bulevardul regina elisabeta 16;729;bulevardul regina elisabeta 26
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.35],"exact":3,"score":3.35,"order":1,"size":0.25};649;bulevardul regina maria 33-35;1177;bulevardul regina maria 36-38
{"matched":[0,1,3],"matchScore":[1,0.28095238095238095,0.39999999999999997],"exact":1,"score":1.6809523809523808,"order":0.7777777777777777,"size":0.25};650;intrarea rigas 29b;605;intrarea dascalu nicolae 2
{"matched":[0,1,3],"matchScore":[1,0.4666666666666667,1],"exact":2,"score":2.466666666666667,"order":0.7777777777777777,"size":0.25};651;strada roma 8;1650;strada romano alexandru 8
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};652;strada romulus 64;1680;strada romulus 63
{"matched":[0,2,1,3],"matchScore":[1,0.2888888888888889,0.3232142857142857,0.9555555555555555],"exact":1,"score":2.56765873015873,"order":0.75,"size":0.25};653;strada schitu darvari 14a;715;strada dumbrava rosie 14
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.35],"exact":3,"score":3.35,"order":1,"size":0.25};654;bulevardul schitu magureanu 17;1726;bulevardul schitu magureanu 19
{"matched":[0,1,2,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":1,"size":0.25};655;bulevardul schitu magureanu 25;1726;bulevardul schitu magureanu 19
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":1,"size":0.25};656;bulevardul schitu magureanu 39;1726;bulevardul schitu magureanu 19
{"matched":[0,2,3],"matchScore":[1,0.39126984126984127,1],"exact":2,"score":2.391269841269841,"order":0.7777777777777777,"size":0.25};657;strada selari 13;1418;strada parintele galeriu 13
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.35],"exact":3,"score":3.35,"order":1,"size":0.25};658;calea serban voda 31;1826;calea serban voda 33
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.29999999999999993],"exact":3,"score":3.3,"order":1,"size":0.25};659;calea serban voda 105;1828;calea serban voda 123
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.4111111111111111],"exact":3,"score":3.411111111111111,"order":1,"size":0.25};660;calea serban voda 124;1828;calea serban voda 123
{"matched":[0,1,2,3],"matchScore":[1,1,0.2888888888888889,1],"exact":3,"score":3.2888888888888888,"order":1,"size":0.25};661;strada sfanta maria 51;1743;strada sfanta treime 51
{"matched":[0,1,3,4],"matchScore":[1,0.4057142857142857,1,0.35],"exact":2,"score":2.755714285714286,"order":0.8,"size":0.2};662;strada sfantul constantin 24;1705;strada sandu aldea constantin 21
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.42500000000000004],"exact":3,"score":3.425,"order":1,"size":0.25};663;strada sfantul elefterie 14;1751;strada sfantul elefterie 1
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.42500000000000004],"exact":3,"score":3.425,"order":1,"size":0.25};664;strada sfantul elefterie 16;1751;strada sfantul elefterie 1
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":1,"size":0.25};665;strada sfintii apostoli 40;1763;strada sfintii apostoli 60
{"matched":[0,3,1,4],"matchScore":[1,0.35714285714285715,0.20601851851851852,1],"exact":2,"score":2.563161375661376,"order":0.5999999999999999,"size":0.2};666;strada sfintii voievozi 29;1243;strada mendeleev d i 29
{"matched":[0,1,2,3],"matchScore":[1,0.8984126984126984,0.375,0.925],"exact":1,"score":3.1984126984126986,"order":1,"size":0.25};667;strada sfintii voievozi 55;1747;strada sfanta vineri 5
{"matched":[0,1,2],"matchScore":[1,0.34259259259259256,1],"exact":2,"score":2.3425925925925926,"order":1,"size":0.3333333333333333};668;strada silfidelor 4;1446;strada plantelor 4
{"matched":[0,1,2,3],"matchScore":[1,0.4067460317460318,0.31666666666666665,1],"exact":2,"score":2.7234126984126985,"order":1,"size":0.25};669;strada spataru preda 5;693;strada patrascu voda 5
{"matched":[0,1,2,3],"matchScore":[1,0.4067460317460318,0.31666666666666665,1],"exact":2,"score":2.7234126984126985,"order":1,"size":0.25};670;strada spataru preda 5;693;strada patrascu voda 5
{"matched":[0,1,2,3],"matchScore":[1,0.4067460317460318,0.31666666666666665,1],"exact":2,"score":2.7234126984126985,"order":1,"size":0.25};671;strada spataru preda 5;693;strada patrascu voda 5
{"matched":[0,-1,2,1,3],"matchScore":[1,0,1,0.27285714285714285,1],"exact":3,"score":3.2728571428571427,"order":0.7000000000000002,"size":0.25};672;strada spatarul nicolae milescu 6;1189;strada mavrogheni nicolae 6
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};673;strada spatarului 1a;1800;strada spatarului 19
{"matched":[0,1,2],"matchScore":[1,0.40277777777777773,1],"exact":2,"score":2.4027777777777777,"order":1,"size":0.3333333333333333};674;strada sperantei 13;1533;strada povernei 1-3
{"matched":[0,1,2],"matchScore":[1,0.3300925925925926,1],"exact":2,"score":2.3300925925925924,"order":1,"size":0.3333333333333333};675;strada sperantei 26;1074;strada lipscani 26
{"matched":[0,1,3],"matchScore":[1,0.32916666666666666,0.925],"exact":1,"score":2.2541666666666664,"order":0.7777777777777777,"size":0.25};676;intrarea stafetei 2a;55;intrarea alexe marin 2
{"matched":[0,2,1,3,4],"matchScore":[1,0.22777777777777777,0.3194444444444444,0.3333333333333333,1],"exact":2,"score":2.8805555555555555,"order":0.8399999999999999,"size":0.2};677;soseaua stefan cel mare 5;1040;soseaua kiseleff pavel dimitrievici 5
{"matched":[3,0,2,1,4],"matchScore":[0.24761904761904763,0.36666666666666664,0.25,0.9025,1],"exact":1,"score":2.766785714285714,"order":0.52,"size":0.2};678;soseaua stefan cel mare 18;1280;strada mirea george demetrescu 18
{"matched":[0,2,1,3,4],"matchScore":[1,0.22777777777777777,0.3194444444444444,0.3333333333333333,0.42500000000000004],"exact":1,"score":2.3055555555555554,"order":0.8399999999999999,"size":0.2};679;soseaua stefan cel mare 20;1037;soseaua kiseleff pavel dimitrievici 2
{"matched":[0,2,1,3,4],"matchScore":[1,0.22777777777777777,0.3194444444444444,0.3333333333333333,1],"exact":2,"score":2.8805555555555555,"order":0.8399999999999999,"size":0.2};680;soseaua stefan cel mare 27;1046;soseaua kiseleff pavel dimitrievici 27
{"matched":[0,2,1,3,4],"matchScore":[1,0.22777777777777777,0.3194444444444444,0.3333333333333333,0.42500000000000004],"exact":1,"score":2.3055555555555554,"order":0.8399999999999999,"size":0.2};681;soseaua stefan cel mare 42;1039;soseaua kiseleff pavel dimitrievici 4
{"matched":[0,2,1,3],"matchScore":[1,0.23611111111111108,0.45,1],"exact":2,"score":2.686111111111111,"order":0.75,"size":0.25};682;strada stefan mihaileanu 7;1248;strada mihai voda 7
{"matched":[0,2,1,3],"matchScore":[1,0.23611111111111108,0.45,0.9555555555555555],"exact":1,"score":2.6416666666666666,"order":0.75,"size":0.25};683;strada stefan mihaileanu 11a;1250;strada mihai voda 11
{"matched":[0,1,2,3],"matchScore":[1,0.3392857142857143,0.3055555555555555,1],"exact":2,"score":2.6448412698412698,"order":1,"size":0.25};684;strada stefan protopopescu 1;1759;strada sfintii apostoli 1
{"matched":[0,1,2,3],"matchScore":[1,1,0.4875,1],"exact":3,"score":3.4875,"order":1,"size":0.25};685;strada stelea spataru 12;1815;strada stelea spatarul 12
{"matched":[0,1,2,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":1,"size":0.25};686;strada stirbei voda 23;1838;strada stirbei voda 16-18
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.39999999999999997],"exact":3,"score":3.4,"order":1,"size":0.25};687;strada stirbei voda 122;1842;strada stirbei voda 152
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.29999999999999993],"exact":3,"score":3.3,"order":1,"size":0.25};688;strada stirbei voda 129;1842;strada stirbei voda 152
{"matched":[0,2,3],"matchScore":[1,0.393939393939394,1],"exact":2,"score":2.393939393939394,"order":0.7777777777777777,"size":0.25};689;strada straduintei 6;348;strada calomfirescu radu 6
{"matched":[0,2,1,3],"matchScore":[1,0.35000000000000003,0.29365079365079366,1],"exact":2,"score":2.643650793650794,"order":0.75,"size":0.25};690;strada drumul taberei 20;1384;strada pangratti ermil 20
{"matched":[0,1,2,3],"matchScore":[1,0.18333333333333335,1,1],"exact":3,"score":3.1833333333333336,"order":1,"size":0.25};691;strada tache gheorghe 13;624;strada demetriade gheorghe 1-3
{"matched":[0,2,1,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":0.6666666666666667,"size":0.25};692;strada tache ionescu 8;1000;strada ionescu tache 25
{"matched":[0,2,3,4],"matchScore":[1,0.2888888888888889,0.31666666666666665,1],"exact":2,"score":2.6055555555555556,"order":0.8500000000000001,"size":0.2};693;strada targu neamt 2;1276;strada mirea george demetrescu 2
{"matched":[0,1,2],"matchScore":[1,0.2916666666666667,1],"exact":2,"score":2.291666666666667,"order":1,"size":0.3333333333333333};694;strada teleajen 42;1081;strada lipscani 42
{"matched":[0,1,2],"matchScore":[1,0.2916666666666667,1],"exact":2,"score":2.291666666666667,"order":1,"size":0.3333333333333333};695;strada teleajen 72;1090;strada lipscani 72
{"matched":[0,2,1,3],"matchScore":[1,0.25416666666666665,0.40952380952380957,0.42500000000000004],"exact":1,"score":2.088690476190476,"order":0.75,"size":0.25};696;strada teodosie rudeanu 70;306;strada budisteanu constantin 7
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};697;strada toamnei 8;1846;strada toamnei 83
{"matched":[0,1,2],"matchScore":[1,0.9523809523809523,0.45555555555555555],"exact":1,"score":2.407936507936508,"order":1,"size":0.3333333333333333};698;strada toamnei 121;640;strada doamnei 12
{"matched":[0,1,2],"matchScore":[1,0.9523809523809523,0.45555555555555555],"exact":1,"score":2.407936507936508,"order":1,"size":0.3333333333333333};699;strada toamnei 125;640;strada doamnei 12
{"matched":[0,1,2],"matchScore":[1,0.9523809523809523,0.3875],"exact":1,"score":2.3398809523809523,"order":1,"size":0.3333333333333333};700;strada toamnei 56-58;637;strada doamnei 5
{"matched":[0,1,2,4],"matchScore":[1,0.2976190476190476,0.36111111111111116,1],"exact":2,"score":2.658730158730159,"order":0.8499999999999999,"size":0.2};701;strada trei scaune 15;1625;strada robescu c f 15
{"matched":[0,1,2,3],"matchScore":[1,0.2888888888888889,0.2761904761904762,1],"exact":2,"score":2.5650793650793653,"order":1,"size":0.25};702;strada tudor arghezi 23;660;strada donici alexandru 23
{"matched":[0,1,2,3],"matchScore":[1,0.2888888888888889,0.2761904761904762,1],"exact":2,"score":2.5650793650793653,"order":1,"size":0.25};703;strada tudor arghezi 32;662;strada donici alexandru 32
{"matched":[0,2,1,3],"matchScore":[1,0.273478835978836,0.37638888888888894,1],"exact":2,"score":2.649867724867725,"order":0.75,"size":0.25};704;strada valeriu braniste 23;132;strada axinte uricariul 23
{"matched":[0,2,1,3],"matchScore":[1,0.2825396825396825,0.22916666666666666,0.9555555555555555],"exact":1,"score":2.4672619047619047,"order":0.75,"size":0.25};705;strada valeriu braniste 60a;1523;strada popa soare 60
{"matched":[0,2,3,4],"matchScore":[1,0.2888888888888889,0.4416666666666667,1],"exact":2,"score":2.7305555555555556,"order":0.8500000000000001,"size":0.2};706;strada vasile conta 14;1702;strada sandu aldea constantin 14
{"matched":[0,3,2,4],"matchScore":[1,0.36111111111111116,0.38,1],"exact":2,"score":2.741111111111111,"order":0.7000000000000002,"size":0.2};707;strada vasile conta 3-5;1693;strada rosetti c a 35
{"matched":[0,1,2,3],"matchScore":[1,0.3314814814814815,0.4416666666666667,1],"exact":2,"score":2.773148148148148,"order":1,"size":0.25};708;strada vasile conta 7-9;1776;strada silvestru constantin 79
{"matched":[0,2,1,3],"matchScore":[1,1,0.37777777777777777,1],"exact":3,"score":3.3777777777777778,"order":0.75,"size":0.25};709;strada vasile lascar 8;20;strada alecsandri vasile 8
{"matched":[0,2,1,3],"matchScore":[1,1,0.37777777777777777,1],"exact":3,"score":3.3777777777777778,"order":0.75,"size":0.25};710;strada vasile lascar 10;22;strada alecsandri vasile 10
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":0.75,"size":0.25};711;strada vasile lascar 23-25;1062;strada lascar vasile 32
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":0.75,"size":0.25};712;strada vasile lascar 46;1064;strada lascar vasile 76
{"matched":[0,2,1,3],"matchScore":[1,1,0.37777777777777777,0.9555555555555555],"exact":2,"score":3.333333333333333,"order":0.75,"size":0.25};713;strada vasile lascar 100;22;strada alecsandri vasile 10
{"matched":[0,2,1,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":0.6666666666666667,"size":0.25};714;strada vasile lascar 111;1062;strada lascar vasile 32
{"matched":[0,2,1,3],"matchScore":[1,1,0.2619047619047619,0.42500000000000004],"exact":2,"score":2.6869047619047617,"order":0.75,"size":0.25};715;strada vasile lucaciu 4;1855;strada toneanu vasile 48
{"matched":[0,2,1,3],"matchScore":[1,1,0.26607142857142857,0.45555555555555555],"exact":2,"score":2.7216269841269844,"order":0.75,"size":0.25};716;strada vasile lucaciu 101;22;strada alecsandri vasile 10
{"matched":[0,2,3,4],"matchScore":[1,0.36111111111111116,0.3666666666666667,1],"exact":2,"score":2.727777777777778,"order":0.8500000000000001,"size":0.2};717;strada victor babes 7;1688;strada rosetti c a 7
{"matched":[0,1,2],"matchScore":[1,1,0.825],"exact":2,"score":2.825,"order":1,"size":0.3333333333333333};718;calea victoriei 1-5;1935;calea victoriei 115
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};719;calea victoriei 2-4;1913;calea victoriei 2
{"matched":[0,1,2],"matchScore":[1,1,0.43333333333333335],"exact":2,"score":2.4333333333333336,"order":1,"size":0.3333333333333333};720;calea victoriei 22-24;1902;calea victoriei 22
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};721;calea victoriei 25;1913;calea victoriei 2
{"matched":[0,1,2],"matchScore":[1,1,0.39999999999999997],"exact":2,"score":2.4,"order":1,"size":0.3333333333333333};722;calea victoriei 103-105;1918;calea victoriei 11
{"matched":[0,1,2],"matchScore":[1,1,0.43333333333333335],"exact":2,"score":2.4333333333333336,"order":1,"size":0.3333333333333333};723;calea victoriei 128b;1919;calea victoriei 12
{"matched":[0,1,2],"matchScore":[1,1,0.45555555555555555],"exact":2,"score":2.4555555555555557,"order":1,"size":0.3333333333333333};724;calea victoriei 136;1921;calea victoriei 13
{"matched":[0,1,2],"matchScore":[1,1,0.45555555555555555],"exact":2,"score":2.4555555555555557,"order":1,"size":0.3333333333333333};725;calea victoriei 143;1922;calea victoriei 14
{"matched":[0,1,2],"matchScore":[1,1,0.39999999999999997],"exact":2,"score":2.4,"order":1,"size":0.3333333333333333};726;calea victoriei 214;1913;calea victoriei 2
{"matched":[0,3,4],"matchScore":[1,0.2916666666666667,0.42500000000000004],"exact":1,"score":1.7166666666666668,"order":0.6444444444444446,"size":0.2};727;soseaua viilor 95;1041;soseaua kiseleff pavel dimitrievici 9
{"matched":[0,2,3],"matchScore":[1,0.4259259259259259,1],"exact":2,"score":2.4259259259259256,"order":0.7777777777777777,"size":0.25};728;strada viisoarei 2;1516;strada popa soare 2
{"matched":[0,1,2],"matchScore":[1,0.21666666666666667,1],"exact":2,"score":2.216666666666667,"order":1,"size":0.3333333333333333};729;strada viitorului 107;1862;strada traian 107
{"matched":[0,1,3],"matchScore":[1,0.35875000000000007,1],"exact":2,"score":2.35875,"order":0.7777777777777777,"size":0.25};730;strada visarion 3;1909;strada verona arthur 3
{"matched":[0,1,2],"matchScore":[1,0.3,1],"exact":2,"score":2.3,"order":1,"size":0.3333333333333333};731;strada vulturilor 48;524;strada coltei 48
{"matched":[0,2,3],"matchScore":[1,0.3111111111111111,1],"exact":2,"score":2.311111111111111,"order":0.7777777777777777,"size":0.25};732;strada washington 2;479;strada campineanu ion 2
{"matched":[0,2,3],"matchScore":[1,0.3111111111111111,1],"exact":2,"score":2.311111111111111,"order":0.7777777777777777,"size":0.25};733;strada washington 4;863;strada ghica ion 4
{"matched":[0,2,4],"matchScore":[1,0.3703703703703704,1],"exact":2,"score":2.3703703703703702,"order":0.7333333333333334,"size":0.2};734;strada academiei 1a;135;strada baia de fier 1a
{"matched":[0,3,1,4],"matchScore":[1,0.39999999999999997,0.22380952380952382,1],"exact":2,"score":2.623809523809524,"order":0.5999999999999999,"size":0.2};735;strada ady endre 7;1688;strada rosetti c a 7
{"matched":[0,1,2],"matchScore":[1,0.2746212121212121,1],"exact":2,"score":2.274621212121212,"order":1,"size":0.3333333333333333};736;strada agricultori 74;1091;strada lipscani 74
{"matched":[0,2,1,3],"matchScore":[1,0.27037037037037037,0.22420634920634921,1],"exact":2,"score":2.4945767195767194,"order":0.75,"size":0.25};737;bulevardul alexandru obregia 2;1541;bulevardul protopopescu pache 2
{"matched":[0,2,3],"matchScore":[1,0.3833333333333333,1],"exact":2,"score":2.3833333333333333,"order":0.7777777777777777,"size":0.25};738;strada armoniei 1;703;strada dumbrava rosie 1
{"matched":[0,1,2,3],"matchScore":[1,0.40249999999999997,0.28095238095238095,1],"exact":2,"score":2.6834523809523807,"order":1,"size":0.25};739;strada aura buzescu 1;127;strada avram iancu 1
{"matched":[0,2,1,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":0.6666666666666667,"size":0.25};740;strada aurel vlaicu 68;1967;strada vlaicu aurel 16
{"matched":[0,1,2],"matchScore":[1,1,0.2916666666666667],"exact":2,"score":2.2916666666666665,"order":1,"size":0.3333333333333333};741;bulevardul aviatorilor 65;125;bulevardul aviatorilor 51-53
{"matched":[0,1,2],"matchScore":[1,0.40089285714285716,1],"exact":2,"score":2.400892857142857,"order":1,"size":0.3333333333333333};742;strada baladei 3;275;strada bradesti 3
{"matched":[0,1,3],"matchScore":[1,0.36388888888888893,1],"exact":2,"score":2.363888888888889,"order":0.7777777777777777,"size":0.25};743;strada balcesti 9;21;strada alecsandri vasile 9
{"matched":[0,1,2,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":1,"size":0.25};744;bulevardul banul manta 7;147;bulevardul banul manta 9
{"matched":[0,1,-1,2],"matchScore":[1,0.29365079365079366,0,1],"exact":2,"score":2.2936507936507935,"order":0.7777777777777777,"size":0.3333333333333333};745;aleea barajul sadului 3-5;46;aleea alexandru 35
{"matched":[0,1,3],"matchScore":[1,0.3333333333333333,1],"exact":2,"score":2.333333333333333,"order":0.7777777777777777,"size":0.25};746;strada brasov 19;1654;strada romano alexandru 19
{"matched":[0,2,3,1,4],"matchScore":[1,1,1,1,0.42500000000000004],"exact":4,"score":4.425,"order":0.6800000000000002,"size":0.2};747;strada c a rosetti 34;679;strada rosetti c a 3
{"matched":[0,2,1,4],"matchScore":[1,0.37142857142857144,0.25132275132275134,0.9555555555555555],"exact":1,"score":2.5783068783068783,"order":0.7,"size":0.2};748;strada caderea bastiliei 19a;1630;strada robescu c f 19
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};749;calea calarasilor 41;412;calea calarasilor 42
{"matched":[0,1,3],"matchScore":[1,0.40555555555555556,1],"exact":2,"score":2.4055555555555554,"order":0.7777777777777777,"size":0.25};750;strada calusei 11;352;strada calomfirescu radu 11
{"matched":[0,1,2,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":1,"size":0.25};751;strada clopotarii vechi 18;493;strada clopotarii vechi 4
