id_lie;cod_lmi;similarity;a_score;lie_index;lie_add;lmi_index;lmi_add;match
CS2-00035;B-II-m-B-18097;"{""matched"":[0,1,2],""matchScore"":[1,1,0.35],""exact"":2,""score"":2.35,""order"":1,""size"":0.3333333333333333}";110.35;416;strada batiste 35;158;strada batiste 39;no
CS2-00036;B-II-m-A-18789;"{""matched"":[0,2,1,-1],""matchScore"":[1,1,1,0],""exact"":3,""score"":3,""order"":0.6666666666666667,""size"":0.25}";1110;417;strada benjamin franklin 9;751;strada franklin benjamin 1-3;no
CS2-00037;B-II-m-B-19368;"{""matched"":[0,3,2,-1],""matchScore"":[1,0.36309523809523814,1,0],""exact"":2,""score"":2.363095238095238,""order"":0.5555555555555556,""size"":0.25}";1046.30952380952;418;strada bibescu voda 18-20;1425;strada patrascu voda 3bis;no
CS2-00038;B-II-m-B-19368;"{""matched"":[0,3,2,-1],""matchScore"":[1,0.36309523809523814,1,0],""exact"":2,""score"":2.363095238095238,""order"":0.5555555555555556,""size"":0.25}";1046.30952380952;419;strada bibescu voda 24;1425;strada patrascu voda 3bis;no
CS2-00039;B-II-m-B-18158.01;"{""matched"":[0,1,2,3],""matchScore"":[1,1,0.3055555555555555,1],""exact"":3,""score"":3.3055555555555554,""order"":1,""size"":0.25}";1104.05555555556;420;intrarea biserica alba 3;222;intrarea biserica rasvan 3;no
CS2-00040;B-II-m-B-18154;"{""matched"":[0,1,2,3],""matchScore"":[1,1,1,0.35],""exact"":3,""score"":3.35,""order"":1,""size"":0.25}";1110.35;421;strada biserica amzei 27;13;strada biserica amzei 22;no
CS2-00041;B-II-m-B-18155;"{""matched"":[0,1,2,3],""matchScore"":[1,1,1,1],""exact"":4,""score"":4,""order"":1,""size"":0.25}";1111;422;strada biserica amzei 2-4;189;strada biserica amzei 24;no
CS2-00042;B-II-m-B-18344;"{""matched"":[0,1,2],""matchScore"":[1,1,0.32499999999999996],""exact"":2,""score"":2.325,""order"":1,""size"":0.3333333333333333}";110.325;423;calea calarasilor 317;408;calea calarasilor 34;no
CS2-00044;B-II-m-B-18344;"{""matched"":[0,1,2],""matchScore"":[1,1,0.35],""exact"":2,""score"":2.35,""order"":1,""size"":0.3333333333333333}";110.35;424;calea calarasilor 39;408;calea calarasilor 34;no
CS2-00045;B-II-m-B-18005;"{""matched"":[0,1,2],""matchScore"":[1,0.4259259259259259,0.2916666666666667],""exact"":1,""score"":1.7175925925925926,""order"":1,""size"":0.3333333333333333}";104.550925925926;425;strada caminului 22-24;88;strada armindenului 12;no
CS2-00046;B-II-m-B-21011;"{""matched"":[0,2,1,3],""matchScore"":[1,0.3888888888888889,0.20714285714285716,1],""exact"":2,""score"":2.5960317460317457,""order"":0.75,""size"":0.25}";1041.96031746032;426;strada campia libertatii 6;1525;strada popescu candiano 6;no
CS2-00047;B-II-m-B-18420;"{""matched"":[0,1,2,-1],""matchScore"":[1,0.46,0.2388888888888889,0],""exact"":1,""score"":1.698888888888889,""order"":1,""size"":0.25}";1048.38888888889;427;strada campia libertatii 31;479;strada campineanu ion 2;no
CS2-00048;B-II-m-B-18422;"{""matched"":[0,1,2,3],""matchScore"":[1,0.46,0.2388888888888889,0.3333333333333333],""exact"":1,""score"":2.0322222222222224,""order"":1,""size"":0.25}";1048.72222222222;428;strada campia libertatii 40;481;strada campineanu ion 20;no
CS2-00049;B-II-m-B-18313;"{""matched"":[0,1,2,3],""matchScore"":[1,1,1,0.825],""exact"":3,""score"":3.825,""order"":1,""size"":0.25}";1110.825;429;bulevardul carol i 12;380;bulevardul carol i 112;no
CS2-00050;B-II-m-B-18314;"{""matched"":[0,1,2,3],""matchScore"":[1,1,1,0.35],""exact"":3,""score"":3.35,""order"":1,""size"":0.25}";1110.35;430;bulevardul carol i 28;381;bulevardul carol i 25;no
CS2-00051;B-II-m-A-18309;"{""matched"":[0,1,2,3],""matchScore"":[1,1,1,0.42500000000000004],""exact"":3,""score"":3.425,""order"":1,""size"":0.25}";1110.425;431;bulevardul carol i 48;376;bulevardul carol i 4;no
CS2-00052;B-II-m-B-18180;"{""matched"":[0,2,1,3],""matchScore"":[1,1,1,0.32499999999999996],""exact"":3,""score"":3.325,""order"":0.75,""size"":0.25}";1110.325;432;strada cezar bolliac 11c;244;strada bolliac cezar 12;no
CS2-00053;B-II-m-B-18512;"{""matched"":[0,1,2,-1],""matchScore"":[1,0.41607142857142865,0.2833333333333333,0],""exact"":1,""score"":1.6994047619047619,""order"":1,""size"":0.25}";1044.44047619048;433;strada ciprian porumbescu 4;566;strada cristian radu 2;no
CS2-00054;B-II-m-B-18516;"{""matched"":[0,1,2,3],""matchScore"":[1,0.41607142857142865,0.2833333333333333,1],""exact"":2,""score"":2.699404761904762,""order"":1,""size"":0.25}";1045.44047619048;434;strada ciprian porumbescu 8;570;strada cristian radu 8;no
CS2-00055;B-II-m-B-19553;"{""matched"":[0,2,1,4],""matchScore"":[1,0.37142857142857144,0.3666666666666667,1],""exact"":2,""score"":2.738095238095238,""order"":0.7,""size"":0.2}";1041.80952380952;435;strada ciprian porumbescu 10;1620;strada robescu c f 10;no
