similarity;a_score;lie_index;lie_add;lmi_index;lmi_add
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;1255;strada covaci 4;563;strada covaci 
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;1256;strada covaci 5;563;strada covaci 
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;1257;strada covaci 8;563;strada covaci 
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};110.35;1258;strada covaci 13;564;strada covaci 16
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;1259;strada covaci 21;563;strada covaci 
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;1260;strada covaci 23;563;strada covaci 
{"matched":[0,1,3],"matchScore":[1,0.373015873015873,1],"exact":2,"score":2.373015873015873,"order":0.7777777777777777,"size":0.25};104.73015873015873;1261;strada covasna 15;1483;strada poiana florilor 15
{"matched":[0,2,3],"matchScore":[1,0.32142857142857145,1],"exact":2,"score":2.321428571428571,"order":0.7777777777777777,"size":0.25};104.21428571428571;1262;strada covasna 27;1190;strada masaryk thomas 27
{"matched":[0,2,3],"matchScore":[1,0.3952380952380952,0.925],"exact":1,"score":2.3202380952380954,"order":0.7777777777777777,"size":0.25};104.87738095238095;1263;strada cozla 2a;1218;strada mavrogheni nicolae 2
{"matched":[0,1,3],"matchScore":[1,0.37619047619047613,1],"exact":2,"score":2.376190476190476,"order":0.7777777777777777,"size":0.25};104.76190476190476;1264;strada craciun 8;570;strada cristian radu 8
{"matched":[0,1,2,3,-1],"matchScore":[1,0.38571428571428573,1,0.2222222222222222,0],"exact":2,"score":2.607936507936508,"order":1,"size":0.2};10487.936507936509;1265;strada crinul de padure 2;571;strada cutitul de argint 1
{"matched":[0,2,-1],"matchScore":[1,0.8875,0],"exact":1,"score":1.8875,"order":0.75,"size":0.25};108.875;1266;strada crinului 5-15;274;strada botez corneliu 3
{"matched":[0,1,3],"matchScore":[1,0.46071428571428574,1],"exact":2,"score":2.460714285714286,"order":0.7777777777777777,"size":0.25};105.60714285714286;1267;strada crisana 3;567;strada cristian radu 3
{"matched":[0,2,4],"matchScore":[1,0.37142857142857144,1],"exact":2,"score":2.3714285714285714,"order":0.7333333333333334,"size":0.2};104.71428571428571;1268;strada crisana 35;1693;strada rosetti c a 35
{"matched":[0,1,3],"matchScore":[1,0.37884615384615383,1],"exact":2,"score":2.378846153846154,"order":0.7777777777777777,"size":0.25};104.78846153846153;1269;strada crizantemelor 2;566;strada cristian radu 2
{"matched":[0,1,2],"matchScore":[1,0.386039886039886,1],"exact":2,"score":2.386039886039886,"order":1,"size":0.3333333333333333};104.86039886039886;1270;strada crizantemelor 4;1446;strada plantelor 4
{"matched":[0,2,4],"matchScore":[1,0.3615384615384615,1],"exact":2,"score":2.3615384615384616,"order":0.7333333333333334,"size":0.2};104.61538461538461;1271;strada crizantemelor 6;1616;strada robescu c f 6
{"matched":[0,1,3],"matchScore":[1,0.37884615384615383,1],"exact":2,"score":2.378846153846154,"order":0.7777777777777777,"size":0.25};104.78846153846153;1272;strada crizantemelor 8;570;strada cristian radu 8
{"matched":[0,2,4],"matchScore":[1,0.3615384615384615,1],"exact":2,"score":2.3615384615384616,"order":0.7333333333333334,"size":0.2};104.61538461538461;1273;strada crizantemelor 16;1626;strada robescu c f 16
{"matched":[0,1,2],"matchScore":[1,0.38173076923076926,1],"exact":2,"score":2.381730769230769,"order":1,"size":0.3333333333333333};104.8173076923077;1274;strada crizantemelor 20;654;strada docentilor 20
{"matched":[0,1,2,3],"matchScore":[1,0.37000000000000005,0.28095238095238095,1],"exact":2,"score":2.650952380952381,"order":1,"size":0.25};1040.8095238095239;1275;strada culmea veche 5;492;strada clemenceau georges 5
{"matched":[0,1,2,3,4],"matchScore":[1,1,1,1,0.42500000000000004],"exact":4,"score":4.425,"order":1,"size":0.2};11110.425;1276;strada cutitul de argint 18;571;strada cutitul de argint 1
{"matched":[0,1,2,3,4],"matchScore":[1,1,1,1,0.42500000000000004],"exact":4,"score":4.425,"order":1,"size":0.2};11110.425;1277;strada cutitul de argint 19;571;strada cutitul de argint 1
{"matched":[0,1,2,3,-1],"matchScore":[1,1,1,1,0],"exact":4,"score":4,"order":1,"size":0.2};11110;1278;strada cutitul de argint 28;571;strada cutitul de argint 1
{"matched":[0,1,2,3,-1],"matchScore":[1,1,1,1,0],"exact":4,"score":4,"order":1,"size":0.2};11110;1279;strada cutitul de argint 62-62a;571;strada cutitul de argint 1
{"matched":[0,1,2,3,-1],"matchScore":[1,1,1,1,0],"exact":4,"score":4,"order":1,"size":0.2};11110;1280;strada cutitul de argint 64;571;strada cutitul de argint 1
{"matched":[0,1,2,3,-1],"matchScore":[1,1,1,1,0],"exact":4,"score":4,"order":1,"size":0.2};11110;1281;strada cutitul de argint 68;571;strada cutitul de argint 1
{"matched":[0,1,2,3,-1],"matchScore":[1,1,1,1,0],"exact":4,"score":4,"order":1,"size":0.2};11110;1282;strada cutitul de argint 72a;571;strada cutitul de argint 1
{"matched":[0,1,2,3,-1],"matchScore":[1,1,1,1,0],"exact":4,"score":4,"order":1,"size":0.2};11110;1283;strada cutitul de argint 74;571;strada cutitul de argint 1
{"matched":[0,2,3,-1],"matchScore":[1,0.43333333333333335,0.24166666666666667,0],"exact":1,"score":1.675,"order":0.8222222222222222,"size":0.2};1045.75;1284;strada cuza voda 53;1557;strada putul cu plopi 10
{"matched":[0,2,3,-1],"matchScore":[1,0.43333333333333335,0.24166666666666667,0],"exact":1,"score":1.675,"order":0.8222222222222222,"size":0.2};1045.75;1285;strada cuza voda 78;1557;strada putul cu plopi 10
{"matched":[0,2,3,-1],"matchScore":[1,0.43333333333333335,0.24166666666666667,0],"exact":1,"score":1.675,"order":0.8222222222222222,"size":0.2};1045.75;1286;strada cuza voda 89;1557;strada putul cu plopi 10
{"matched":[0,2,3,-1],"matchScore":[1,0.43333333333333335,0.24166666666666667,0],"exact":1,"score":1.675,"order":0.8222222222222222,"size":0.2};1045.75;1287;strada cuza voda 86;1557;strada putul cu plopi 10
{"matched":[0,2,3,-1],"matchScore":[1,0.43333333333333335,0.24166666666666667,0],"exact":1,"score":1.675,"order":0.8222222222222222,"size":0.2};1045.75;1288;strada cuza voda 93;1557;strada putul cu plopi 10
{"matched":[0,2,3,-1],"matchScore":[1,0.43333333333333335,0.24166666666666667,0],"exact":1,"score":1.675,"order":0.8222222222222222,"size":0.2};1045.75;1289;strada cuza voda 98;1557;strada putul cu plopi 10
{"matched":[0,1,2],"matchScore":[1,1,0.3333333333333333],"exact":2,"score":2.3333333333333335,"order":1,"size":0.3333333333333333};110.33333333333333;1290;bulevardul dacia 32;577;bulevardul dacia 12
{"matched":[0,1,2],"matchScore":[1,1,0.3333333333333333],"exact":2,"score":2.3333333333333335,"order":1,"size":0.3333333333333333};110.33333333333333;1291;bulevardul dacia 37;584;bulevardul dacia 67
{"matched":[0,1,2],"matchScore":[1,1,0.3333333333333333],"exact":2,"score":2.3333333333333335,"order":1,"size":0.3333333333333333};110.33333333333333;1292;bulevardul dacia 45;588;bulevardul dacia 75
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};110.35;1293;bulevardul dacia 64;580;bulevardul dacia 60
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};110.35;1294;bulevardul dacia 80;591;bulevardul dacia 82
{"matched":[0,1,2],"matchScore":[1,1,1],"exact":3,"score":3,"order":1,"size":0.3333333333333333};111;1295;bulevardul dacia 101;354;bulevardul dacia 101
{"matched":[0,1,2],"matchScore":[1,1,1],"exact":3,"score":3,"order":1,"size":0.3333333333333333};111;1296;bulevardul dacia 103;464;bulevardul dacia 103
{"matched":[0,1,2],"matchScore":[1,1,1],"exact":3,"score":3,"order":1,"size":0.3333333333333333};111;1297;bulevardul dacia 103;464;bulevardul dacia 103
{"matched":[0,1,2],"matchScore":[1,1,0.4111111111111111],"exact":2,"score":2.411111111111111,"order":1,"size":0.3333333333333333};110.41111111111111;1298;bulevardul dacia 104;354;bulevardul dacia 101
{"matched":[0,1,2],"matchScore":[1,1,0.4111111111111111],"exact":2,"score":2.411111111111111,"order":1,"size":0.3333333333333333};110.41111111111111;1299;bulevardul dacia 114;602;bulevardul dacia 117
{"matched":[0,1,2],"matchScore":[1,1,0.4111111111111111],"exact":2,"score":2.411111111111111,"order":1,"size":0.3333333333333333};110.41111111111111;1300;bulevardul dacia 116;602;bulevardul dacia 117
{"matched":[0,1,2],"matchScore":[1,1,0.39999999999999997],"exact":2,"score":2.4,"order":1,"size":0.3333333333333333};110.4;1301;bulevardul dacia 131;354;bulevardul dacia 101
{"matched":[0,1,2],"matchScore":[1,1,0.32499999999999996],"exact":2,"score":2.325,"order":1,"size":0.3333333333333333};110.325;1302;bulevardul dacia 149;577;bulevardul dacia 12
{"matched":[0,1,2],"matchScore":[1,1,0.39999999999999997],"exact":2,"score":2.4,"order":1,"size":0.3333333333333333};110.4;1303;bulevardul dacia 153;464;bulevardul dacia 103
{"matched":[0,1,2],"matchScore":[1,1,0.32499999999999996],"exact":2,"score":2.325,"order":1,"size":0.3333333333333333};110.325;1304;bulevardul dacia 159;577;bulevardul dacia 12
{"matched":[0,1,2],"matchScore":[1,1,0.32499999999999996],"exact":2,"score":2.325,"order":1,"size":0.3333333333333333};110.325;1305;bulevardul dacia 160;577;bulevardul dacia 12
{"matched":[0,1,2],"matchScore":[1,1,0.3611111111111111],"exact":2,"score":2.361111111111111,"order":1,"size":0.3333333333333333};110.36111111111111;1306;bulevardul dacia 168;589;bulevardul dacia 76-78
{"matched":[0,1,2],"matchScore":[1,1,0.32499999999999996],"exact":2,"score":2.325,"order":1,"size":0.3333333333333333};110.325;1307;bulevardul dacia 172;577;bulevardul dacia 12
{"matched":[0,2,1,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":0.6666666666666667,"size":0.25};1110;1308;strada david praporgescu 29;1537;strada praporgescu david 17
{"matched":[0,1,2,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":1,"size":0.25};1110;1309;aleea dealul mitropoliei 5;613;aleea dealul mitropoliei 7
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.35],"exact":3,"score":3.35,"order":1,"size":0.25};1110.35;1310;aleea dealul mitropoliei 11;614;aleea dealul mitropoliei 15
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.35],"exact":3,"score":3.35,"order":1,"size":0.25};1110.35;1311;aleea dealul mitropoliei 17;614;aleea dealul mitropoliei 15
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.35],"exact":3,"score":3.35,"order":1,"size":0.25};1110.35;1312;aleea dealul mitropoliei 19;614;aleea dealul mitropoliei 15
{"matched":[0,2,-1],"matchScore":[1,0.45555555555555555,0],"exact":1,"score":1.4555555555555555,"order":0.8,"size":0.2};104.55555555555556;1313;strada dej 78;135;strada baia de fier 1a
{"matched":[0,2,1,4],"matchScore":[1,0.4111111111111111,0.25,0.42500000000000004],"exact":1,"score":2.0861111111111112,"order":0.7,"size":0.2};1044.036111111111;1314;strada despot voda 38;136;strada baia de fier 3
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;1315;strada dianei 13;626;strada dianei 9
{"matched":[0,2,3],"matchScore":[1,0.4119047619047619,1],"exact":2,"score":2.4119047619047618,"order":0.7777777777777777,"size":0.25};105.11904761904762;1316;strada diditel 14;1365;strada orbescu dimitrie 14
{"matched":[0,1,3],"matchScore":[1,0.33809523809523806,1],"exact":2,"score":2.338095238095238,"order":0.7777777777777777,"size":0.25};104.38095238095238;1317;strada diditel 13;1257;strada miile constantin 13
{"matched":[0,2,1,-1],"matchScore":[1,1,0.3055555555555555,0],"exact":2,"score":2.3055555555555554,"order":0.6666666666666667,"size":0.25};1103.0555555555557;1318;strada dimitrie bolintineanu 2;1565;strada racovita dimitrie 12
{"matched":[0,2,1,-1],"matchScore":[1,1,0.3055555555555555,0],"exact":2,"score":2.3055555555555554,"order":0.6666666666666667,"size":0.25};1103.0555555555557;1319;strada dimitrie bolintineanu 3;1565;strada racovita dimitrie 12
{"matched":[0,1,2,-1],"matchScore":[1,0.375,0.27499999999999997,0],"exact":1,"score":1.65,"order":1,"size":0.25};1040.25;1320;bulevardul dimitrie cantemir 3;1965;bulevardul vladimirescu tudor 15
{"matched":[0,2,1,3],"matchScore":[1,0.3541666666666667,0.31999999999999995,1],"exact":2,"score":2.674166666666667,"order":0.75,"size":0.25};1039.6166666666668;1321;bulevardul dimitrie cantemir 4;376;bulevardul carol i 4
{"matched":[0,1,2,-1],"matchScore":[1,0.375,0.27499999999999997,0],"exact":1,"score":1.65,"order":1,"size":0.25};1040.25;1322;bulevardul dimitrie cantemir 5;1965;bulevardul vladimirescu tudor 15
{"matched":[0,1,2,-1],"matchScore":[1,0.375,0.27499999999999997,0],"exact":1,"score":1.65,"order":1,"size":0.25};1040.25;1323;bulevardul dimitrie cantemir 9;1965;bulevardul vladimirescu tudor 15
{"matched":[0,2,1,-1],"matchScore":[1,1,0.3898809523809524,0],"exact":2,"score":2.3898809523809526,"order":0.6666666666666667,"size":0.25};1103.8988095238096;1324;strada dimitrie giurescu 4;1364;strada orbescu dimitrie 12
{"matched":[0,2,1,-1],"matchScore":[1,1,0.3898809523809524,0],"exact":2,"score":2.3898809523809526,"order":0.6666666666666667,"size":0.25};1103.8988095238096;1325;strada dimitrie giurescu 7;1364;strada orbescu dimitrie 12
{"matched":[0,2,1,-1],"matchScore":[1,1,0.3898809523809524,0],"exact":2,"score":2.3898809523809526,"order":0.6666666666666667,"size":0.25};1103.8988095238096;1326;strada dimitrie giurescu 9;1364;strada orbescu dimitrie 12
{"matched":[0,2,1,3],"matchScore":[1,1,0.3898809523809524,0.35],"exact":2,"score":2.7398809523809526,"order":0.75,"size":0.25};1104.2488095238095;1327;strada dimitrie giurescu 10;1364;strada orbescu dimitrie 12
{"matched":[0,2,1,3],"matchScore":[1,1,0.22380952380952382,0.35],"exact":2,"score":2.573809523809524,"order":0.75,"size":0.25};1102.588095238095;1328;strada dimitrie gusti 19;1364;strada orbescu dimitrie 12
{"matched":[0,2,1,-1],"matchScore":[1,1,0.48333333333333334,0],"exact":2,"score":2.4833333333333334,"order":0.6666666666666667,"size":0.25};1104.8333333333333;1329;strada dimitrie onciul 12;1363;strada onciu dimitrie 31
{"matched":[0,2,1,-1],"matchScore":[1,1,0.48333333333333334,0],"exact":2,"score":2.4833333333333334,"order":0.6666666666666667,"size":0.25};1104.8333333333333;1330;strada dimitrie onciul 16;1363;strada onciu dimitrie 31
{"matched":[0,2,1,3],"matchScore":[1,1,0.48333333333333334,1],"exact":3,"score":3.4833333333333334,"order":0.75,"size":0.25};1105.8333333333333;1331;strada dimitrie onciul 31;1363;strada onciu dimitrie 31
{"matched":[0,2,1,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":0.6666666666666667,"size":0.25};1110;1332;strada dimitrie orbescu 8;1364;strada orbescu dimitrie 12
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.35],"exact":3,"score":3.35,"order":0.75,"size":0.25};1110.35;1333;strada dimitrie orbescu 11;1364;strada orbescu dimitrie 12
{"matched":[0,2,1,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":0.6666666666666667,"size":0.25};1110;1334;strada dimitrie racovita 25;1565;strada racovita dimitrie 12
{"matched":[0,2,1,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":0.6666666666666667,"size":0.25};1110;1335;strada dimitrie racovita 30a;1565;strada racovita dimitrie 12
{"matched":[0,2,1,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":0.6666666666666667,"size":0.25};1110;1336;strada dimitrie racovita 41;1565;strada racovita dimitrie 12
{"matched":[0,2,1,-1],"matchScore":[1,1,0.21825396825396826,0],"exact":2,"score":2.2182539682539684,"order":0.6666666666666667,"size":0.25};1102.1825396825398;1337;strada dimitrie salmen 20;1364;strada orbescu dimitrie 12
{"matched":[0,2,1,-1],"matchScore":[1,1,0.21825396825396826,0],"exact":2,"score":2.2182539682539684,"order":0.6666666666666667,"size":0.25};1102.1825396825398;1338;strada dimitrie salmen 30;1364;strada orbescu dimitrie 12
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.35],"exact":3,"score":3.35,"order":0.75,"size":0.25};1110.35;1339;bulevardul dinicu golescu 1a;875;bulevardul golescu dinicu 16
{"matched":[0,2,1,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":0.6666666666666667,"size":0.25};1110;1340;bulevardul dinicu golescu 9;875;bulevardul golescu dinicu 16
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.35],"exact":3,"score":3.35,"order":0.75,"size":0.25};1110.35;1341;strada dionisie lupu 31;1145;strada lupu dionisie 37
{"matched":[0,1,2,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":1,"size":0.25};1110;1342;strada doamna ghica 125;631;strada doamna ghica 3-5
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;1343;strada doamnei 7;340;strada doamnei 20
{"matched":[0,1,2],"matchScore":[1,1,0.925],"exact":2,"score":2.925,"order":1,"size":0.3333333333333333};110.925;1344;strada doamnei 11;542;strada doamnei 1
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};110.425;1345;strada doamnei 27-29;647;strada doamnei 22
{"matched":[0,1,2],"matchScore":[1,0.37619047619047613,1],"exact":2,"score":2.376190476190476,"order":1,"size":0.3333333333333333};104.76190476190476;1346;strada dobrogei 12;640;strada doamnei 12
{"matched":[0,1,3],"matchScore":[1,0.43523809523809526,1],"exact":2,"score":2.435238095238095,"order":0.7777777777777777,"size":0.25};105.35238095238095;1347;strada doina 11;659;strada domnita anastasia 11
{"matched":[0,1,2],"matchScore":[1,0.35000000000000003,1],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};104.5;1348;strada doina 13;1126;strada londra 13
{"matched":[0,1,2],"matchScore":[1,0.3828571428571429,1],"exact":2,"score":2.382857142857143,"order":1,"size":0.3333333333333333};104.82857142857142;1349;strada doina 15;643;strada doamnei 15
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.42500000000000004],"exact":3,"score":3.425,"order":1,"size":0.25};1110.425;1350;strada domnita anastasia 10;655;strada domnita anastasia 1
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.42500000000000004],"exact":3,"score":3.425,"order":1,"size":0.25};1110.425;1351;strada domnita anastasia 17;655;strada domnita anastasia 1
{"matched":[0,1,2,3],"matchScore":[1,1,0.34814814814814815,1],"exact":3,"score":3.348148148148148,"order":1,"size":0.25};1104.4814814814815;1352;strada domnita ancuta 9;658;strada domnita anastasia 9
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;1353;calea dorobantilor 51;664;calea dorobantilor 16
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};110.35;1354;calea dorobantilor 69;668;calea dorobantilor 60
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};110.35;1355;calea dorobantilor 70;669;calea dorobantilor 72
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};110.35;1356;calea dorobantilor 75;669;calea dorobantilor 72
{"matched":[0,1,2],"matchScore":[1,1,0.3611111111111111],"exact":2,"score":2.361111111111111,"order":1,"size":0.3333333333333333};110.36111111111111;1357;calea dorobantilor 134;665;calea dorobantilor 36-40
{"matched":[0,1,2,3],"matchScore":[1,0.2916666666666667,1,0.925],"exact":2,"score":3.2166666666666663,"order":1,"size":0.25};1040.0916666666667;1358;strada dragos voda 3;1573;strada radu voda 33
{"matched":[0,1,3],"matchScore":[1,0.22380952380952382,1],"exact":2,"score":2.223809523809524,"order":0.7777777777777777,"size":0.25};103.23809523809524;1359;intrarea dragusa 5;56;intrarea alexe marin 5
{"matched":[0,1,3],"matchScore":[1,0.3339285714285714,1],"exact":2,"score":2.3339285714285714,"order":0.7777777777777777,"size":0.25};104.33928571428571;1360;intrarea dragusa 6;608;intrarea dascalu nicolae 6
{"matched":[0,1,-1],"matchScore":[1,0.3339285714285714,0],"exact":1,"score":1.3339285714285714,"order":1,"size":0.25};103.33928571428571;1361;intrarea dragusa 15;605;intrarea dascalu nicolae 2
{"matched":[0,2,3],"matchScore":[1,0.3943181818181818,0.3333333333333333],"exact":1,"score":1.727651515151515,"order":0.7777777777777777,"size":0.25};104.27651515151514;1362;strada dristorului 73;1165;strada maica domnului 63
{"matched":[0,1,2],"matchScore":[1,0.418560606060606,0.39999999999999997],"exact":1,"score":1.8185606060606059,"order":1,"size":0.3333333333333333};104.58560606060607;1363;strada dristorului 104;1588;strada ritmului 1
{"matched":[0,1,2,3],"matchScore":[1,0.37375,0.29333333333333333,1],"exact":2,"score":2.6670833333333333,"order":1,"size":0.25};1041.3083333333334;1364;strada drumea radulescu 12;714;strada dumbrava rosie 12
{"matched":[0,1,2],"matchScore":[1,1,0.27777777777777773],"exact":2,"score":2.2777777777777777,"order":1,"size":0.3333333333333333};110.27777777777777;1365;calea dudesti 37;684;calea dudesti 117bis
{"matched":[0,1,2],"matchScore":[1,1,0.3333333333333333],"exact":2,"score":2.3333333333333335,"order":1,"size":0.3333333333333333};110.33333333333333;1366;calea dudesti 51;697;calea dudesti 155b
{"matched":[0,1,2,3],"matchScore":[1,1,1,1],"exact":4,"score":4,"order":1,"size":0.25};1111;1367;strada dumbrava rosie 12;714;strada dumbrava rosie 12
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.42500000000000004],"exact":3,"score":3.425,"order":1,"size":0.25};1110.425;1368;strada dumbrava rosie 20;704;strada dumbrava rosie 2
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.42500000000000004],"exact":3,"score":3.425,"order":1,"size":0.25};1110.425;1369;strada dumbrava rosie 28;704;strada dumbrava rosie 2
{"matched":[0,2,1,-1],"matchScore":[1,0.32142857142857145,0.2698412698412698,0],"exact":1,"score":1.5912698412698412,"order":0.6666666666666667,"size":0.25};1034.8412698412699;1370;intrarea dumitru lemnea 1;719;intrarea eftimiu victor 9
{"matched":[0,2,1,3],"matchScore":[1,0.28095238095238095,0.35000000000000003,1],"exact":2,"score":2.630952380952381,"order":0.75,"size":0.25};1032.595238095238;1371;intrarea dumitru lemnea 2;55;intrarea alexe marin 2
{"matched":[0,2,1,3],"matchScore":[1,0.28095238095238095,0.35000000000000003,1],"exact":2,"score":2.630952380952381,"order":0.75,"size":0.25};1032.595238095238;1372;intrarea dumitru lemnea 6;57;intrarea alexe marin 6
{"matched":[0,2,1,-1],"matchScore":[1,0.32142857142857145,0.2698412698412698,0],"exact":1,"score":1.5912698412698412,"order":0.6666666666666667,"size":0.25};1034.8412698412699;1373;intrarea dumitru lemnea 7;719;intrarea eftimiu victor 9
{"matched":[0,2,1,3],"matchScore":[1,0.28095238095238095,0.35000000000000003,1],"exact":2,"score":2.630952380952381,"order":0.75,"size":0.25};1032.595238095238;1374;intrarea dumitru lemnea 8;58;intrarea alexe marin 8
{"matched":[0,2,1,-1],"matchScore":[1,0.32142857142857145,0.2698412698412698,0],"exact":1,"score":1.5912698412698412,"order":0.6666666666666667,"size":0.25};1034.8412698412699;1375;intrarea dumitru lemnea 18;719;intrarea eftimiu victor 9
{"matched":[0,3,1,4],"matchScore":[1,0.9142857142857144,0.20601851851851852,0.39999999999999997],"exact":1,"score":2.5203042328042327,"order":0.5999999999999999,"size":0.2};1093.8887566137566;1376;strada dumitru papazoglu 106;649;strada dobrescu i demetru 1
{"matched":[0,1,2,3],"matchScore":[1,0.38523809523809527,0.22083333333333333,1],"exact":2,"score":2.6060714285714286,"order":1,"size":0.25};1041.732142857143;1377;strada dunarea albastra 2;704;strada dumbrava rosie 2
{"matched":[0,1,3],"matchScore":[1,0.3404761904761905,1],"exact":2,"score":2.3404761904761906,"order":0.7777777777777777,"size":0.25};104.4047619047619;1378;strada duzilor 2;704;strada dumbrava rosie 2
{"matched":[0,1,3],"matchScore":[1,0.3404761904761905,1],"exact":2,"score":2.3404761904761906,"order":0.7777777777777777,"size":0.25};104.4047619047619;1379;strada duzilor 8;710;strada dumbrava rosie 8
{"matched":[0,1,3],"matchScore":[1,0.3457142857142857,0.925],"exact":1,"score":2.270714285714286,"order":0.7777777777777777,"size":0.25};104.38214285714285;1380;strada duzilor 33;604;strada danielopol gheorghe 3
{"matched":[0,2,-1,-1],"matchScore":[1,1,0,0],"exact":2,"score":2,"order":0.75,"size":0.25};1100;1381;strada ecaterina teodoroiu 7;1741;strada sfanta ecaterina 5
{"matched":[0,2,-1,-1],"matchScore":[1,1,0,0],"exact":2,"score":2,"order":0.75,"size":0.25};1100;1382;strada ecaterina teodoroiu 16;1741;strada sfanta ecaterina 5
{"matched":[0,2,3],"matchScore":[1,0.3512820512820513,1],"exact":2,"score":2.3512820512820514,"order":0.7777777777777777,"size":0.25};104.51282051282051;1383;strada eclesiarhului 8;956;strada haret spiru 8
{"matched":[0,1,-1,3],"matchScore":[1,0.3833333333333333,0,1],"exact":2,"score":2.3833333333333333,"order":1,"size":0.25};1039.3333333333333;1384;strada elena cuza 5;492;strada clemenceau georges 5
{"matched":[0,1,2,3],"matchScore":[1,0.41111111111111115,0.22916666666666666,0.35],"exact":1,"score":1.990277777777778,"order":1,"size":0.25};1043.7527777777777;1385;strada elena cuza 15;1668;strada stelea spatarul 18
{"matched":[0,1,-1,2],"matchScore":[1,0.3535714285714286,0,1],"exact":2,"score":2.3535714285714286,"order":0.7777777777777777,"size":0.3333333333333333};1036.357142857143;1386;strada elena cuza 25;1110;strada lizeanu 25
{"matched":[0,1,2,3],"matchScore":[1,0.41111111111111115,0.22916666666666666,0.35],"exact":1,"score":1.990277777777778,"order":1,"size":0.25};1043.7527777777777;1387;strada elena cuza 27;1753;strada stelea spatarul 23
{"matched":[0,1,2,3],"matchScore":[1,0.41111111111111115,0.22916666666666666,0.35],"exact":1,"score":1.990277777777778,"order":1,"size":0.25};1043.7527777777777;1388;strada elena cuza 35;1808;strada stelea spatarul 3a
{"matched":[0,1,2,3],"matchScore":[1,0.41111111111111115,0.22916666666666666,0.3333333333333333],"exact":1,"score":1.9736111111111112,"order":1,"size":0.25};1043.736111111111;1389;strada elena cuza 40;1812;strada stelea spatarul 10
{"matched":[0,1,3,-1],"matchScore":[1,0.41111111111111115,0.2638888888888889,0],"exact":1,"score":1.675,"order":0.7777777777777777,"size":0.25};1043.75;1390;strada elena cuza 42;1813;strada stelea spatarul 10a
{"matched":[0,1,3,-1],"matchScore":[1,0.41111111111111115,0.2638888888888889,0],"exact":1,"score":1.675,"order":0.7777777777777777,"size":0.25};1043.75;1391;strada elena cuza 45;1813;strada stelea spatarul 10a
{"matched":[0,1,3,-1],"matchScore":[1,0.41111111111111115,0.2638888888888889,0],"exact":1,"score":1.675,"order":0.7777777777777777,"size":0.25};1043.75;1392;strada elena cuza 47;1813;strada stelea spatarul 10a
{"matched":[0,1,3,-1],"matchScore":[1,0.41111111111111115,0.2638888888888889,0],"exact":1,"score":1.675,"order":0.7777777777777777,"size":0.25};1043.75;1393;strada elena cuza 53;1813;strada stelea spatarul 10a
