similarity;a_score;lie_index;lie_add;lmi_index;lmi_add
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;674;strada sperantei 13;1802;strada sperantei 42-46
{"matched":[0,1,2],"matchScore":[1,1,0.2916666666666667],"exact":2,"score":2.2916666666666665,"order":1,"size":0.3333333333333333};110.29166666666667;675;strada sperantei 26;1802;strada sperantei 42-46
{"matched":[0,1,3],"matchScore":[1,0.32916666666666666,0.925],"exact":1,"score":2.2541666666666664,"order":0.7777777777777777,"size":0.25};104.21666666666667;676;intrarea stafetei 2a;55;intrarea alexe marin 2
{"matched":[0,2,1,3,4],"matchScore":[1,0.22777777777777777,0.3194444444444444,0.3333333333333333,1],"exact":2,"score":2.8805555555555555,"order":0.8399999999999999,"size":0.2};10264.055555555557;677;soseaua stefan cel mare 5;1040;soseaua kiseleff pavel dimitrievici 5
{"matched":[0,2,1,3,4],"matchScore":[1,0.22777777777777777,0.3194444444444444,0.3333333333333333,0.42500000000000004],"exact":1,"score":2.3055555555555554,"order":0.8399999999999999,"size":0.2};10263.480555555556;678;soseaua stefan cel mare 18;1036;soseaua kiseleff pavel dimitrievici 1
{"matched":[0,2,1,3,4],"matchScore":[1,0.22777777777777777,0.3194444444444444,0.3333333333333333,0.42500000000000004],"exact":1,"score":2.3055555555555554,"order":0.8399999999999999,"size":0.2};10263.480555555556;679;soseaua stefan cel mare 20;1037;soseaua kiseleff pavel dimitrievici 2
{"matched":[0,2,1,3,4],"matchScore":[1,0.22777777777777777,0.3194444444444444,0.3333333333333333,1],"exact":2,"score":2.8805555555555555,"order":0.8399999999999999,"size":0.2};10264.055555555557;680;soseaua stefan cel mare 27;1046;soseaua kiseleff pavel dimitrievici 27
{"matched":[0,2,1,3,4],"matchScore":[1,0.22777777777777777,0.3194444444444444,0.3333333333333333,0.42500000000000004],"exact":1,"score":2.3055555555555554,"order":0.8399999999999999,"size":0.2};10263.480555555556;681;soseaua stefan cel mare 42;1039;soseaua kiseleff pavel dimitrievici 4
{"matched":[0,2,1,-1],"matchScore":[1,1,0.23253968253968252,0],"exact":2,"score":2.2325396825396826,"order":0.6666666666666667,"size":0.25};1102.3253968253969;682;strada stefan mihaileanu 7;1758;strada sfantul stefan 
{"matched":[0,2,-1,1],"matchScore":[1,1,0,0.24603174603174605],"exact":2,"score":2.246031746031746,"order":0.44444444444444464,"size":0.25};1100.2460317460318;683;strada stefan mihaileanu 11a;1758;strada sfantul stefan 
{"matched":[0,2,1,-1],"matchScore":[1,1,0.2043650793650794,0],"exact":2,"score":2.2043650793650795,"order":0.6666666666666667,"size":0.25};1102.0436507936508;684;strada stefan protopopescu 1;1758;strada sfantul stefan 
{"matched":[0,1,2,3],"matchScore":[1,1,0.4875,1],"exact":3,"score":3.4875,"order":1,"size":0.25};1105.875;685;strada stelea spataru 12;1815;strada stelea spatarul 12
{"matched":[0,1,2,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":1,"size":0.25};1110;686;strada stirbei voda 23;1838;strada stirbei voda 16-18
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.39999999999999997],"exact":3,"score":3.4,"order":1,"size":0.25};1110.4;687;strada stirbei voda 122;1842;strada stirbei voda 152
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.29999999999999993],"exact":3,"score":3.3,"order":1,"size":0.25};1110.3;688;strada stirbei voda 129;1842;strada stirbei voda 152
{"matched":[0,2,3],"matchScore":[1,0.393939393939394,1],"exact":2,"score":2.393939393939394,"order":0.7777777777777777,"size":0.25};104.93939393939394;689;strada straduintei 6;348;strada calomfirescu radu 6
{"matched":[0,2,1,4],"matchScore":[1,0.37500000000000006,0.25132275132275134,0.35],"exact":1,"score":1.9763227513227513,"order":0.7,"size":0.2};1040.3632275132275;690;strada drumul taberei 20;1243;strada mendeleev d i 29
{"matched":[0,2,1,-1],"matchScore":[1,1,0.1726190476190476,0],"exact":2,"score":2.1726190476190474,"order":0.6666666666666667,"size":0.25};1101.7261904761904;691;strada tache gheorghe 13;1000;strada ionescu tache 25
{"matched":[0,2,1,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":0.6666666666666667,"size":0.25};1110;692;strada tache ionescu 8;1000;strada ionescu tache 25
{"matched":[0,2,1,3],"matchScore":[1,0.39333333333333337,0.2888888888888889,0.42500000000000004],"exact":1,"score":2.107222222222222,"order":0.75,"size":0.25};1042.6472222222221;693;strada targu neamt 2;1318;strada muntii tatra 21
{"matched":[0,1,2],"matchScore":[1,0.2916666666666667,1],"exact":2,"score":2.291666666666667,"order":1,"size":0.3333333333333333};103.91666666666667;694;strada teleajen 42;1081;strada lipscani 42
{"matched":[0,1,2],"matchScore":[1,0.2916666666666667,1],"exact":2,"score":2.291666666666667,"order":1,"size":0.3333333333333333};103.91666666666667;695;strada teleajen 72;1090;strada lipscani 72
{"matched":[0,2,1,-1],"matchScore":[1,0.44583333333333336,0.32857142857142857,0],"exact":1,"score":1.7744047619047618,"order":0.6666666666666667,"size":0.25};1047.8690476190475;696;strada teodosie rudeanu 70;1835;strada stefanescu teodor 2
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};110.425;697;strada toamnei 8;1846;strada toamnei 83
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;698;strada toamnei 121;1846;strada toamnei 83
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;699;strada toamnei 125;1846;strada toamnei 83
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;700;strada toamnei 56-58;1846;strada toamnei 83
