cod_lmi#sirsup#rang#uat#siruta#localitate#sirinf#sector#adresa#strada_tip#strada_nume#strada_numar#cod_lmi_jud#cod_lmi_nat#cod_lmi_grupa#cod_lmi_val#cod_lmi_num#tip_patrimoniu#program_arhitectura#tip_monument#denumire#observatii_adresa#fotografiat#inexistent#constructie_noua#stare_monument#observatii#alte_obs#observatii_corina#datare#lat#lon
B-II-m-B-17946#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Strada Alecsandri Vasile 13 sector 1#Strada#Alecsandri Vasile#13#B#II#m#B#17946#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##DA#NU#NU#ÎN ȘANTIER#ÎN REABILITARE#ȘANTIER##1900#44.4508612833198#26.0940087398221
B-II-m-B-17947#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Strada Alecsandri Vasile 16 sector 1#Strada#Alecsandri Vasile#16#B#II#m#B#17947#Patrimoniu reprezentativ#Clădire cu alte funcțiuni##Muzeul Frederick și Cecilia Cuțescu Storck##DA#NU#NU#FOARTE BUNĂ#REABILITAT#.##1914#44.4509833#26.0947206
B-II-m-B-17948#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Strada Alecsandri Vasile 18 sector 1#Strada#Alecsandri Vasile#18#B#II#m#B#17948#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##DA#NU#NU#BUNĂ#RENOVAT#.##sf. sec. XIX - prima jum. sec. XX#44.4512074103689#26.0944333810185
B-II-m-B-17949#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Strada Alecsandri Vasile 20 sector 1#Strada#Alecsandri Vasile#20#B#II#m#B#17949#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##DA#NU#NU#MEDIE#DEGRADAT#.##sf. sec. XIX - prima jum. sec. XX#44.4512857#26.0943833
B-II-m-B-17950#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Strada Alexandrescu Grigore 6 sector 1#Strada#Alexandrescu Grigore#6#B#II#m#B#17950#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă Iulia Constantinescu##DA#NU#NU#MEDIE#DEGRADAT#.##sf. sec. XIX - prima jum. sec. XX#44.4507054409541#26.0882974973915
B-II-m-B-17951#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Strada Alexandrescu Grigore 10 sector 1#Strada#Alexandrescu Grigore#10#B#II#m#B#17951#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##DA#NU#NU#FOARTE BUNĂ#REABILITAT#.##sf. sec. XIX - prima jum. sec. XX#44.4507338641782#26.0886481451788
B-II-m-B-17952#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Strada Alexandrescu Grigore 12 sector 1#Strada#Alexandrescu Grigore#12#B#II#m#B#17952#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##DA#NU#NU#BUNĂ#CONSERVAT#COINCIDE B-II-m-B-18337#Posibil sa coincida cu B-II-m-B-18337#sf. sec. XIX - prima jum. sec. XX#44.450937#26.0893799
B-II-m-B-17953#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Strada Alexandrescu Grigore 14 sector 1#Strada#Alexandrescu Grigore#14#B#II#m#B#17953#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##DA#NU#NU#MEDIE#DEGRADAT#.##sf. sec. XIX - prima jum. sec. XX#44.4509389953296#26.0899037660005
B-II-m-B-17954#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Strada Alexandrescu Grigore 26 sector 1#Strada#Alexandrescu Grigore#26#B#II#m#B#17954#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##DA#NU#NU#MEDIE#PUTERNIC DEGRADAT#.##sf. sec. XIX - prima jum. sec. XX#44.4511548#26.0911899
B-II-m-B-17955#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Strada Alexandrescu Grigore 28 sector 1#Strada#Alexandrescu Grigore#28#B#II#m#B#17955#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##DA#NU#NU#MEDIE#DEGRADAT#.##sf. sec. XIX - prima jum. sec. XX#44.4511774#26.0912599
B-II-m-B-17956#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Strada Alexandrescu Grigore 32-34 sector 1#Strada#Alexandrescu Grigore#32-34#B#II#m#B#17956#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##DA#NU#NU#FOARTE BUNĂ#REABILITAT#.##sf. sec. XIX - prima jum. sec. XX#44.4512492#26.0918369
B-II-m-B-17957#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Strada Alexandrescu Grigore 39 sector 1#Strada#Alexandrescu Grigore#39#B#II#m#B#17957#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##DA#NU#NU#FOARTE BUNĂ#REABILITAT#De repoziționat în bază. Este vis-a-vis de B-II-m-B-17956##sf. sec. XIX - prima jum. sec. XX#44.4511543534803#26.0918542755507
B-II-m-B-17958#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Aleea Alexandru 4 sector 1#Aleea#Alexandru#4#B#II#m#B#17958#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##DA#NU#NU#FOARTE BUNĂ#REABILITAT#.##prima jum. sec. XX#44.4554311623192#26.0869651180744
B-II-m-B-17959#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Aleea Alexandru 5 sector 1#Aleea#Alexandru#5#B#II#m#B#17959#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##NU#NU#NU#BUNĂ#CONSERVAT#VEGETAȚIE##prima jum. sec. XX#44.455785377777#26.0874501060898
B-II-m-B-17960#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Aleea Alexandru 6 sector 1#Aleea#Alexandru#6#B#II#m#B#17960#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##DA#NU#NU#MEDIE#DEGRADAT#.##prima jum. sec. XX#44.455454392171#26.0872082317621
B-II-m-B-17961#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Aleea Alexandru 7 sector 1#Aleea#Alexandru#7#B#II#m#B#17961#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##NU#NU#NU#BUNĂ#CONSERVAT#VEGETAȚIE##prima jum. sec. XX#44.4557459#26.0877358
